seed,model,stress_type,stress_rate,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,auc_macro_ovr,n_samples,mean_r_target,mean_observed_missing,mean_observed_implausibility,mean_reliability,std_reliability,corr_reliability_r_target,corr_reliability_missing,corr_reliability_implausibility,mae_reliability_target,f1_macro_ci95_low,f1_macro_ci95_high
42,ViT Image-Only,missing,0.0,0.6229825693996126,0.6263110667242745,0.7316738572707259,0.6388138612577068,0.8038301240460655,0.6229825693996126,0.6474036233151991,0.949272089619277,1549,0.9866580963134766,0.013341940939426422,0.006670970469713211,,,,,,,0.5948079140644322,0.6771797397201289
42,ViT Image-Only,missing,0.25,0.6229825693996126,0.6263110667242745,0.7316738572707259,0.6388138612577068,0.8038301240460655,0.6229825693996126,0.6474036233151991,0.949272089619277,1549,0.7480095028877258,0.25199052691459656,0.12599526345729828,,,,,,,0.5948079140644322,0.6771797397201289
42,ViT Image-Only,missing,0.5,0.6229825693996126,0.6263110667242745,0.7316738572707259,0.6388138612577068,0.8038301240460655,0.6229825693996126,0.6474036233151991,0.949272089619277,1549,0.5085000991821289,0.4914998710155487,0.24574993550777435,,,,,,,0.5948079140644322,0.6771797397201289
42,ViT Image-Only,missing,0.75,0.6229825693996126,0.6263110667242745,0.7316738572707259,0.6388138612577068,0.8038301240460655,0.6229825693996126,0.6474036233151991,0.949272089619277,1549,0.2539272606372833,0.7460727095603943,0.37303635478019714,,,,,,,0.5948079140644322,0.6771797397201289
42,ViT Image-Only,corruption,0.0,0.6229825693996126,0.6263110667242745,0.7316738572707259,0.6388138612577068,0.8038301240460655,0.6229825693996126,0.6474036233151991,0.949272089619277,1549,0.9866580963134766,0.013341940939426422,0.006670970469713211,,,,,,,0.5948079140644322,0.6771797397201289
42,ViT Image-Only,corruption,0.25,0.6229825693996126,0.6263110667242745,0.7316738572707259,0.6388138612577068,0.8038301240460655,0.6229825693996126,0.6474036233151991,0.949272089619277,1549,0.8924037218093872,0.009468474425375462,0.10286206752061844,,,,,,,0.5948079140644322,0.6771797397201289
42,ViT Image-Only,corruption,0.5,0.6229825693996126,0.6263110667242745,0.7316738572707259,0.6388138612577068,0.8038301240460655,0.6229825693996126,0.6474036233151991,0.949272089619277,1549,0.7961049675941467,0.006455778609961271,0.20066708326339722,,,,,,,0.5948079140644322,0.6771797397201289
42,ViT Image-Only,corruption,0.75,0.6229825693996126,0.6263110667242745,0.7316738572707259,0.6388138612577068,0.8038301240460655,0.6229825693996126,0.6474036233151991,0.949272089619277,1549,0.7008822560310364,0.003658274421468377,0.29728856682777405,,,,,,,0.5948079140644322,0.6771797397201289
42,Prior Fusion,missing,0.0,0.632020658489348,0.6328454542370885,0.7103387542298384,0.6351178366172178,0.8178479954158366,0.632020658489348,0.6699331871814079,0.939925750017779,1549,0.9866580963134766,0.013341940939426422,0.006670970469713211,,,,,,,0.5921337728206368,0.6719722939731382
42,Prior Fusion,missing,0.25,0.6326662362814719,0.63235049633901,0.7104832002792388,0.6351411162460213,0.8174305901881849,0.6326662362814719,0.6703701831358858,0.940014906789479,1549,0.7480095028877258,0.25199052691459656,0.12599526345729828,,,,,,,0.5917371475124684,0.6721866673642128
42,Prior Fusion,missing,0.5,0.6339573918657199,0.6314672502396872,0.7113755894849595,0.6353422677583624,0.8171646115743073,0.6339573918657199,0.6712862698024664,0.9399162086755208,1549,0.5085000991821289,0.4914998710155487,0.24574993550777435,,,,,,,0.5918470249643467,0.671296206243459
42,Prior Fusion,missing,0.75,0.6339573918657199,0.6314672502396872,0.7113755894849595,0.6353422677583624,0.8171646115743073,0.6339573918657199,0.6712862698024664,0.9399909680703953,1549,0.2539272606372833,0.7460727095603943,0.37303635478019714,,,,,,,0.5918470249643467,0.671296206243459
