model,clean_f1,severe_f1,seed,stress_type,drop_f1
ViT Image-Only,0.6388138612577068,0.6388138612577068,42,missing,0.0
Prior Fusion,0.6351178366172178,0.6353422677583624,42,missing,0.00022443114114467644
RG-MF,0.6654557589369139,0.6665898366092735,42,missing,0.0011340776723596235
ViT Image-Only,0.6388138612577068,0.6388138612577068,42,corruption,0.0
Prior Fusion,0.6351178366172178,0.634576135617828,42,corruption,-0.0005417009993897715
RG-MF,0.6654557589369139,0.6655659110958919,42,corruption,0.00011015215897802744
ViT Image-Only,0.615687000942751,0.615687000942751,123,missing,0.0
Prior Fusion,0.6207787669288172,0.6207500968415622,123,missing,-2.8670087254933918e-05
RG-MF,0.5781850126986893,0.5781850126986893,123,missing,0.0
ViT Image-Only,0.615687000942751,0.615687000942751,123,corruption,0.0
Prior Fusion,0.6207787669288172,0.621444606419285,123,corruption,0.0006658394904678344
RG-MF,0.5781850126986893,0.5781850126986893,123,corruption,0.0
ViT Image-Only,0.6467009771060944,0.6467009771060944,2025,missing,0.0
Prior Fusion,0.577979070185186,0.57710154146912,2025,missing,-0.0008775287160660561
RG-MF,0.6621501343362193,0.6621501343362193,2025,missing,0.0
ViT Image-Only,0.6467009771060944,0.6467009771060944,2025,corruption,0.0
Prior Fusion,0.577979070185186,0.5770219341345131,2025,corruption,-0.0009571360506729354
RG-MF,0.6621501343362193,0.6619444191460833,2025,corruption,-0.00020571519013601325
