seed,gate_mode,stress_type,stress_rate,accuracy,f1_macro,mean_reliability,mean_r_target,corr_reliability_r_target
42,full,missing,0.0,0.6888315041962556,0.6654557589369139,0.6850737929344177,0.9866580963134766,0.9963572275604055
42,full,missing,0.25,0.6894770819883796,0.6660237007794095,0.6542784571647644,0.7480095028877258,0.9323509726266686
42,full,missing,0.5,0.6894770819883796,0.6660237007794095,0.6255531907081604,0.5085000991821289,0.9145558796617749
42,full,missing,0.75,0.6901226597805036,0.6665898366092735,0.5963645577430725,0.2539272606372833,0.8916793423513679
42,full,corruption,0.0,0.6888315041962556,0.6654557589369139,0.6850737929344177,0.9866580963134766,0.9963572275604055
42,full,corruption,0.25,0.6888315041962556,0.6654557589369139,0.6771435141563416,0.8924037218093872,0.7383159302694986
42,full,corruption,0.5,0.6894770819883796,0.6660237007794095,0.6689320206642151,0.7961049675941467,0.7000365628128142
42,full,corruption,0.75,0.6894770819883796,0.6655659110958919,0.6604606509208679,0.7008822560310364,0.6824176468127949
42,availability_only,missing,0.0,0.6888315041962556,0.6654557589369139,0.6257748603820801,0.9866580963134766,0.997801321161383
42,availability_only,missing,0.25,0.6894770819883796,0.6660237007794095,0.5999318361282349,0.7480095028877258,0.9507538683335155
42,availability_only,missing,0.5,0.6894770819883796,0.6660237007794095,0.5759271383285522,0.5085000991821289,0.9420306810774106
42,availability_only,missing,0.75,0.6901226597805036,0.6665898366092735,0.551504373550415,0.2539272606372833,0.9275970101126195
42,availability_only,corruption,0.0,0.6888315041962556,0.6654557589369139,0.6257748603820801,0.9866580963134766,0.997801321161383
42,availability_only,corruption,0.25,0.6888315041962556,0.6654557589369139,0.6261510252952576,0.8924037218093872,0.39416290928583514
42,availability_only,corruption,0.5,0.6901226597805036,0.6665898366092735,0.6264124512672424,0.7961049675941467,0.21776607112598748
42,availability_only,corruption,0.75,0.6894770819883796,0.6655659110958919,0.6266478896141052,0.7008822560310364,0.14252557513699973
42,plausibility_only,missing,0.0,0.6888315041962556,0.6654557589369139,0.6864739656448364,0.9866580963134766,0.914332819506241
