gate_mode,stress_type,stress_rate,f1_macro_mean,f1_macro_std,accuracy_mean,mean_reliability,corr_reliability_r_target
availability_only,corruption,0.0,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.5617970824241638,0.9113902714923938
availability_only,corruption,0.25,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.5620268980662028,0.31501065707471015
availability_only,corruption,0.5,0.6356416612147274,0.04980840875886315,0.6548673691338688,0.5622401237487793,0.18853803720050613
availability_only,corruption,0.75,0.6353003527102669,0.049492811914424124,0.6546521765364941,0.5623713334401449,0.12445731587498877
availability_only,missing,0.0,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.5617970824241638,0.9113902714923938
availability_only,missing,0.25,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.5440423289934794,0.6223141720027227
availability_only,missing,0.5,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.5290270447731018,0.5365407395872234
availability_only,missing,0.75,0.6356416612147274,0.04980840875886315,0.6548673691338688,0.5152906576792399,0.49186179726006257
full,corruption,0.0,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.6194565296173096,0.9548579671535297
full,corruption,0.25,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.6124879320462545,0.8584967026764135
full,corruption,0.5,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.6051901380221049,0.8477977693305686
full,corruption,0.75,0.6352317809802215,0.04943712298982167,0.6544292110961374,0.5977495511372884,0.8307670496356856
full,missing,0.0,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.6194565296173096,0.9548579671535297
full,missing,0.25,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.5960279901822408,0.7263208728432134
full,missing,0.5,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.5749146540959676,0.6824462494473104
full,missing,0.75,0.6356416612147274,0.04980840875886315,0.6548673691338688,0.5550851623217264,0.6509610530697033
no_gate,corruption,0.0,0.6331522745732209,0.04877836349755212,0.6524437428687513,1.0,
no_gate,corruption,0.25,0.6335095524363097,0.04815956957545532,0.6526677572056688,1.0,
no_gate,corruption,0.5,0.6334810729793644,0.04831913941142285,0.6524515157117333,1.0,
no_gate,corruption,0.75,0.6336475420999191,0.04821894770038851,0.6528907226460255,1.0,
no_gate,missing,0.0,0.6331522745732209,0.04877836349755212,0.6524437428687513,1.0,
no_gate,missing,0.25,0.6344923484290567,0.049047045533504724,0.6526677572056688,1.0,
no_gate,missing,0.5,0.6348685392803591,0.049190886873816425,0.6533299295803178,1.0,
no_gate,missing,0.75,0.6338615839287748,0.048277475615717026,0.6531147369829431,1.0,
plausibility_only,corruption,0.0,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.6203604936599731,0.9589394385881641
plausibility_only,corruption,0.25,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.6131117145220438,0.8338485000411272
plausibility_only,corruption,0.5,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.6055756012598673,0.838651184269284
plausibility_only,corruption,0.75,0.6352317809802215,0.04943712298982167,0.6544292110961374,0.597971240679423,0.8271687591935283
plausibility_only,missing,0.0,0.6352636353239408,0.049459161528447745,0.6544369839391194,0.6203604936599731,0.9589394385881641
plausibility_only,missing,0.25,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.6133895516395569,0.7721705435747567
plausibility_only,missing,0.5,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.6067638397216797,0.756704443855858
plausibility_only,missing,0.75,0.6356416612147274,0.04980840875886315,0.6548673691338688,0.6001904408137003,0.7382405574906242
static_mean,corruption,0.0,0.6331522745732209,0.04877836349755212,0.6524437428687513,0.9897451202074686,0.5804450726849341
static_mean,corruption,0.25,0.6336467493240382,0.04827680148665569,0.6531136880863823,0.8968280156453451,0.2991017905517257
static_mean,corruption,0.5,0.6342254105314153,0.048787348274063336,0.6535440732811316,0.8008574446042379,0.26570245409716947
static_mean,corruption,0.75,0.6351601685834951,0.04956107627890311,0.6542051967592197,0.70609050989151,0.2634717970051364
static_mean,missing,0.0,0.6331522745732209,0.04877836349755212,0.6524437428687513,0.9897451202074686,0.5804450726849341
static_mean,missing,0.25,0.6344813668303025,0.04881781337749134,0.6542140184987627,0.745178759098053,0.2836943731613148
static_mean,missing,0.5,0.6354529492714394,0.04963329073034396,0.6546521765364941,0.49950718879699707,0.26892310469585895
static_mean,missing,0.75,0.6353862030335075,0.04956366548043059,0.6548751419768508,0.2548569291830063,0.2529715353910718
